,alpha,avg_total_deadline,avg_total_paces,avg_total_penalties,avg_total_reward,epsilon,gamma,total_reached_times
0,0.5,36.6666666667,14.5,1.5,23.5833333333,0.03,0.05,18
1,0.5,30.3225806452,20.4193548387,1.22580645161,30.564516129,0.05,0.05,31
2,0.5,31.4285714286,17.7142857143,1.0,28.4464285714,0.08,0.05,28
3,0.5,31.1111111111,13.8333333333,0.333333333333,26.5277777778,0.03,0.1,18
4,0.5,31.9565217391,16.7826086957,1.04347826087,27.4347826087,0.05,0.1,23
5,0.5,28.1034482759,16.8620689655,1.13793103448,27.9482758621,0.08,0.1,29
6,0.5,30.1515151515,15.0909090909,0.606060606061,26.1515151515,0.03,0.15,33
7,0.5,32.0,17.4666666667,0.766666666667,29.5,0.05,0.15,30
8,0.5,34.4,17.52,1.2,26.72,0.08,0.15,25
9,0.5,32.5,17.2857142857,1.03571428571,28.6964285714,0.03,0.2,28
10,0.5,30.6,17.04,0.76,28.98,0.05,0.2,25
11,0.5,33.3333333333,21.6060606061,1.21212121212,32.5757575758,0.08,0.2,33
12,0.5,30.0,16.0,0.666666666667,26.25,0.03,0.25,18
13,0.5,33.6206896552,20.6896551724,1.1724137931,30.8103448276,0.05,0.25,29
14,0.5,34.5238095238,20.1428571429,1.80952380952,28.8333333333,0.08,0.25,21
15,0.5,30.7407407407,12.8888888889,1.0,22.6481481481,0.03,0.3,27
16,0.5,32.9166666667,21.875,1.5,32.125,0.05,0.3,24
17,0.5,33.6363636364,20.8181818182,0.681818181818,29.6590909091,0.08,0.3,22
18,0.5,33.5714285714,16.3333333333,0.47619047619,26.7142857143,0.03,0.35,21
19,0.5,29.6,17.56,1.04,26.98,0.05,0.35,25
20,0.5,31.9642857143,18.0357142857,1.10714285714,27.5178571429,0.08,0.35,28
21,0.5,35.7407407407,16.5185185185,0.888888888889,27.962962963,0.03,0.4,27
22,0.5,28.6111111111,15.25,1.0,26.1111111111,0.05,0.4,36
23,0.5,30.78125,14.625,1.15625,24.890625,0.08,0.4,32
24,0.5,34.3333333333,19.8333333333,1.1,30.5,0.03,0.45,30
25,0.5,32.8571428571,16.3928571429,0.75,27.8035714286,0.05,0.45,28
26,0.5,32.9032258065,23.3870967742,1.51612903226,34.7096774194,0.08,0.45,31
27,0.55,31.4814814815,19.4074074074,0.666666666667,31.7222222222,0.03,0.05,27
28,0.55,30.3571428571,17.75,0.857142857143,30.3035714286,0.05,0.05,28
29,0.55,29.2307692308,18.9230769231,1.0,29.7307692308,0.08,0.05,26
30,0.55,29.1379310345,17.6551724138,0.551724137931,29.3620689655,0.03,0.1,29
31,0.55,32.8260869565,15.3043478261,1.0,25.9347826087,0.05,0.1,23
32,0.55,31.0344827586,16.6206896552,1.27586206897,27.4482758621,0.08,0.1,29
33,0.55,35.5263157895,22.0,1.15789473684,32.8684210526,0.03,0.15,19
34,0.55,29.7916666667,16.0833333333,1.41666666667,25.3958333333,0.05,0.15,24
35,0.55,33.8888888889,18.1481481481,1.59259259259,27.2222222222,0.08,0.15,27
36,0.55,30.0,19.44,1.04,30.62,0.03,0.2,25
37,0.55,31.9117647059,19.1176470588,1.32352941176,29.5588235294,0.05,0.2,34
38,0.55,31.0344827586,20.2413793103,1.0,31.9827586207,0.08,0.2,29
39,0.55,35.7142857143,20.7142857143,1.57142857143,28.9523809524,0.03,0.25,21
40,0.55,30.8333333333,17.75,0.916666666667,27.375,0.05,0.25,24
41,0.55,31.3333333333,18.1666666667,1.26666666667,30.0833333333,0.08,0.25,30
42,0.55,30.0,18.6206896552,1.0,30.3275862069,0.03,0.3,29
43,0.55,31.0714285714,15.9642857143,0.571428571429,27.2678571429,0.05,0.3,28
44,0.55,33.125,18.0625,1.625,27.21875,0.08,0.3,16
45,0.55,32.5,14.4,1.3,23.625,0.03,0.35,20
46,0.55,31.8333333333,17.8,1.03333333333,28.3333333333,0.05,0.35,30
47,0.55,33.3928571429,19.0357142857,1.46428571429,28.4285714286,0.08,0.35,28
48,0.55,40.5,17.1,1.4,26.65,0.03,0.4,10
49,0.55,31.2903225806,16.935483871,1.16129032258,26.6129032258,0.05,0.4,31
50,0.55,30.3703703704,15.8518518519,1.33333333333,25.8703703704,0.08,0.4,27
51,0.55,32.7777777778,21.9444444444,0.833333333333,31.6388888889,0.03,0.45,18
52,0.55,30.7142857143,14.8214285714,0.785714285714,25.7857142857,0.05,0.45,28
53,0.55,30.3225806452,14.2258064516,0.870967741935,24.8064516129,0.08,0.45,31
