,alpha,avg_total_deadline,avg_total_paces,avg_total_penalties,avg_total_reward,epsilon,gamma,total_reached_times
0,0.5,32.0491803279,15.6393442623,0.196721311475,31.0245901639,0.03,0.05,61
1,0.5,28.4659090909,13.4431818182,0.261363636364,28.7102272727,0.05,0.05,88
2,0.5,29.5744680851,13.4255319149,0.297872340426,28.8031914894,0.08,0.05,94
3,0.5,29.4117647059,14.3058823529,0.2,30.3941176471,0.03,0.1,85
4,0.5,29.125,14.775,0.4375,29.50625,0.05,0.1,80
5,0.5,28.3720930233,14.0,0.348837209302,29.6395348837,0.08,0.1,86
6,0.5,29.1758241758,14.4395604396,0.241758241758,29.8846153846,0.03,0.15,91
7,0.5,30.7647058824,14.4,0.247058823529,30.8470588235,0.05,0.15,85
8,0.5,30.0,15.2065217391,0.467391304348,30.3913043478,0.08,0.15,92
9,0.5,28.6627906977,13.0465116279,0.127906976744,28.7325581395,0.03,0.2,86
10,0.5,29.0804597701,13.9195402299,0.218390804598,29.7413793103,0.05,0.2,87
11,0.5,30.1685393258,15.2247191011,0.449438202247,30.9213483146,0.08,0.2,89
12,0.5,31.3768115942,14.9565217391,0.159420289855,29.8333333333,0.03,0.25,69
13,0.5,29.6428571429,14.6714285714,0.357142857143,31.0714285714,0.05,0.25,70
14,0.5,28.8764044944,15.2359550562,0.438202247191,30.6123595506,0.08,0.25,89
15,0.5,29.0833333333,14.9666666667,0.1,31.3083333333,0.03,0.3,60
16,0.5,30.3289473684,13.9473684211,0.197368421053,30.0921052632,0.05,0.3,76
17,0.5,30.3888888889,15.2444444444,0.377777777778,30.6611111111,0.08,0.3,90
18,0.5,31.0377358491,16.5660377358,0.207547169811,31.5849056604,0.03,0.35,53
19,0.5,29.1666666667,13.4047619048,0.214285714286,29.369047619,0.05,0.35,84
20,0.5,31.7045454545,17.6022727273,0.522727272727,33.5,0.08,0.35,88
21,0.5,31.7469879518,17.4337349398,0.240963855422,33.4337349398,0.03,0.4,83
22,0.5,29.2857142857,13.1326530612,0.244897959184,28.7653061224,0.05,0.4,98
23,0.5,29.1666666667,13.9666666667,0.433333333333,29.6277777778,0.08,0.4,90
24,0.5,29.3835616438,15.301369863,0.232876712329,30.2397260274,0.03,0.45,73
25,0.5,31.7777777778,15.3222222222,0.277777777778,31.2833333333,0.05,0.45,90
26,0.5,29.5744680851,15.3085106383,0.489361702128,31.1010638298,0.08,0.45,94
27,0.55,30.1515151515,15.2272727273,0.19696969697,30.1515151515,0.03,0.05,66
28,0.55,30.0,13.7888888889,0.277777777778,29.4944444444,0.05,0.05,90
29,0.55,29.1975308642,15.1604938272,0.37037037037,30.8271604938,0.08,0.05,81
30,0.55,27.8571428571,14.1632653061,0.0612244897959,30.1428571429,0.03,0.1,49
31,0.55,32.7840909091,14.4431818182,0.352272727273,30.4772727273,0.05,0.1,88
32,0.55,28.8586956522,13.5869565217,0.228260869565,29.6956521739,0.08,0.1,92
33,0.55,29.8850574713,14.9195402299,0.252873563218,30.4770114943,0.03,0.15,87
34,0.55,29.1666666667,14.3,0.277777777778,29.2833333333,0.05,0.15,90
35,0.55,29.9418604651,14.5465116279,0.337209302326,29.9360465116,0.08,0.15,86
36,0.55,30.7051282051,13.3974358974,0.205128205128,29.2051282051,0.03,0.2,78
37,0.55,30.5319148936,14.5425531915,0.382978723404,30.2340425532,0.05,0.2,94
38,0.55,31.8823529412,14.4352941176,0.388235294118,29.6705882353,0.08,0.2,85
39,0.55,28.5064935065,14.7012987013,0.155844155844,29.2077922078,0.03,0.25,77
40,0.55,30.3389830508,16.0508474576,0.305084745763,32.0254237288,0.05,0.25,59
41,0.55,29.6710526316,14.1052631579,0.407894736842,30.1447368421,0.08,0.25,76
42,0.55,28.7272727273,12.6181818182,0.2,27.6818181818,0.03,0.3,55
43,0.55,28.869047619,14.119047619,0.22619047619,30.4047619048,0.05,0.3,84
44,0.55,30.0526315789,15.2315789474,0.410526315789,31.2684210526,0.08,0.3,95
45,0.55,30.3636363636,16.1636363636,0.218181818182,33.1,0.03,0.35,55
46,0.55,29.7222222222,13.9,0.322222222222,29.5111111111,0.05,0.35,90
47,0.55,29.9431818182,15.8068181818,0.454545454545,31.9261363636,0.08,0.35,88
48,0.55,31.7924528302,13.9622641509,0.0943396226415,29.4811320755,0.03,0.4,53
49,0.55,28.7068965517,14.4827586207,0.258620689655,29.4655172414,0.05,0.4,58
50,0.55,29.7368421053,14.4421052632,0.431578947368,29.6368421053,0.08,0.4,95
51,0.55,32.7358490566,18.0943396226,0.301886792453,33.2452830189,0.03,0.45,53
52,0.55,30.6626506024,15.8674698795,0.361445783133,31.4036144578,0.05,0.45,83
53,0.55,30.0543478261,15.1413043478,0.29347826087,31.7336956522,0.08,0.45,92
54,0.6,29.4230769231,13.5256410256,0.128205128205,30.1025641026,0.03,0.05,78
55,0.6,30.5333333333,14.32,0.266666666667,29.9266666667,0.05,0.05,75
56,0.6,31.6494845361,15.4329896907,0.350515463918,31.5360824742,0.08,0.05,97
57,0.6,29.8630136986,14.6301369863,0.260273972603,29.6369863014,0.03,0.1,73
58,0.6,29.4943820225,14.0786516854,0.269662921348,29.3539325843,0.05,0.1,89
59,0.6,30.1315789474,17.9342105263,0.552631578947,34.6381578947,0.08,0.1,76
60,0.6,31.0106382979,15.8936170213,0.148936170213,32.3989361702,0.03,0.15,94
61,0.6,29.8765432099,14.0740740741,0.407407407407,29.3456790123,0.05,0.15,81
62,0.6,26.6279069767,13.011627907,0.290697674419,27.8372093023,0.08,0.15,86
63,0.6,30.8080808081,14.3333333333,0.161616161616,30.7070707071,0.03,0.2,99
64,0.6,30.2597402597,15.2077922078,0.272727272727,30.9025974026,0.05,0.2,77
65,0.6,29.8795180723,13.0240963855,0.349397590361,28.2530120482,0.08,0.2,83
66,0.6,31.3194444444,15.4722222222,0.166666666667,32.1527777778,0.03,0.25,72
67,0.6,29.2045454545,14.5340909091,0.261363636364,30.1363636364,0.05,0.25,88
68,0.6,28.1428571429,13.6857142857,0.371428571429,28.65,0.08,0.25,70
69,0.6,31.6363636364,14.1090909091,0.181818181818,28.4818181818,0.03,0.3,55
70,0.6,30.7216494845,14.0824742268,0.226804123711,29.9845360825,0.05,0.3,97
71,0.6,30.7368421053,15.5473684211,0.589473684211,30.6157894737,0.08,0.3,95
72,0.6,29.5652173913,15.5507246377,0.231884057971,29.5797101449,0.03,0.35,69
73,0.6,31.5432098765,16.3333333333,0.123456790123,34.6790123457,0.05,0.35,81
74,0.6,32.2619047619,15.8095238095,0.464285714286,31.5178571429,0.08,0.35,84
75,0.6,31.8518518519,14.4938271605,0.123456790123,30.2839506173,0.03,0.4,81
76,0.6,30.0,14.488372093,0.232558139535,30.4069767442,0.05,0.4,86
77,0.6,30.4,14.5733333333,0.346666666667,29.9333333333,0.08,0.4,75
78,0.6,29.2441860465,15.4534883721,0.325581395349,30.8372093023,0.03,0.45,86
79,0.6,29.4696969697,16.1515151515,0.19696969697,32.946969697,0.05,0.45,66
80,0.6,29.9450549451,14.9010989011,0.307692307692,30.532967033,0.08,0.45,91
81,0.65,31.6216216216,15.7027027027,0.283783783784,30.5135135135,0.03,0.05,74
82,0.65,30.625,15.0340909091,0.261363636364,30.7159090909,0.05,0.05,88
83,0.65,29.3373493976,15.9518072289,0.373493975904,31.8253012048,0.08,0.05,83
84,0.65,30.2941176471,16.3382352941,0.279411764706,31.8235294118,0.03,0.1,68
85,0.65,31.5454545455,15.8545454545,0.309090909091,31.8090909091,0.05,0.1,55
86,0.65,31.3953488372,15.8720930233,0.325581395349,32.3313953488,0.08,0.1,86
87,0.65,30.6329113924,14.5569620253,0.26582278481,30.7784810127,0.03,0.15,79
88,0.65,29.3023255814,14.4651162791,0.255813953488,30.1453488372,0.05,0.15,86
89,0.65,29.3452380952,14.4761904762,0.404761904762,29.5178571429,0.08,0.15,84
90,0.65,31.7142857143,15.4571428571,0.171428571429,31.6928571429,0.03,0.2,70
91,0.65,29.1919191919,13.9292929293,0.232323232323,30.0,0.05,0.2,99
92,0.65,30.0531914894,14.1914893617,0.5,29.6595744681,0.08,0.2,94
93,0.65,30.1063829787,15.7978723404,0.255319148936,31.8510638298,0.03,0.25,94
94,0.65,28.8829787234,12.5638297872,0.234042553191,28.1063829787,0.05,0.25,94
95,0.65,30.1538461538,15.8,0.476923076923,31.3461538462,0.08,0.25,65
96,0.65,30.6179775281,14.3483146067,0.191011235955,30.8651685393,0.03,0.3,89
97,0.65,30.737704918,15.9344262295,0.262295081967,30.8032786885,0.05,0.3,61
98,0.65,30.3125,14.55,0.425,30.0,0.08,0.3,80
99,0.65,30.6617647059,13.75,0.205882352941,29.5073529412,0.03,0.35,68
100,0.65,30.2298850575,15.1034482759,0.287356321839,31.1781609195,0.05,0.35,87
101,0.65,30.9027777778,15.4583333333,0.222222222222,32.1180555556,0.08,0.35,72
102,0.65,29.756097561,14.2682926829,0.0975609756098,29.9512195122,0.03,0.4,82
103,0.65,29.9444444444,13.9888888889,0.144444444444,30.2444444444,0.05,0.4,90
104,0.65,29.8125,13.75,0.3875,28.86875,0.08,0.4,80
105,0.65,29.8255813953,14.1162790698,0.174418604651,30.6395348837,0.03,0.45,86
106,0.65,29.8765432099,14.3580246914,0.296296296296,29.6296296296,0.05,0.45,81
107,0.65,28.3333333333,14.4523809524,0.285714285714,30.125,0.08,0.45,84
108,0.7,29.7457627119,15.8644067797,0.254237288136,31.0762711864,0.03,0.05,59
109,0.7,30.7065217391,14.7282608696,0.228260869565,30.4184782609,0.05,0.05,92
110,0.7,29.8837209302,16.9302325581,0.46511627907,32.1686046512,0.08,0.05,86
111,0.7,29.8924731183,13.752688172,0.236559139785,29.7634408602,0.03,0.1,93
112,0.7,29.1860465116,13.476744186,0.220930232558,29.0348837209,0.05,0.1,86
113,0.7,30.625,14.5113636364,0.329545454545,30.1477272727,0.08,0.1,88
114,0.7,28.7333333333,13.8266666667,0.146666666667,29.2533333333,0.03,0.15,75
115,0.7,29.0104166667,13.1041666667,0.229166666667,28.640625,0.05,0.15,96
116,0.7,29.8958333333,14.375,0.447916666667,30.4479166667,0.08,0.15,96
117,0.7,30.119047619,14.9761904762,0.238095238095,30.3392857143,0.03,0.2,84
